n,x,v
573,-0.022159,-0.306192
574,-0.0224651,-0.305974
575,-0.0227711,-0.305754
576,-0.0230769,-0.305531
577,-0.0233824,-0.305304
578,-0.0236877,-0.305075
579,-0.0239928,-0.304842
580,-0.0242976,-0.304607
581,-0.0246022,-0.304369
582,-0.0249066,-0.304127
583,-0.0252107,-0.303883
584,-0.0255146,-0.303636
585,-0.0258182,-0.303386
586,-0.0261216,-0.303132
587,-0.0264248,-0.302876
588,-0.0267276,-0.302617
589,-0.0270303,-0.302355
590,-0.0273326,-0.30209
591,-0.0276347,-0.301822
592,-0.0279365,-0.30155
593,-0.0282381,-0.301276
594,-0.0285394,-0.300999
595,-0.0288404,-0.30072
596,-0.0291411,-0.300437
597,-0.0294415,-0.300151
598,-0.0297417,-0.299862
599,-0.0300415,-0.29957
600,-0.0303411,-0.299276
601,-0.0306404,-0.298978
602,-0.0309393,-0.298678
603,-0.031238,-0.298374
604,-0.0315364,-0.298068
605,-0.0318345,-0.297758
606,-0.0321322,-0.297446
607,-0.0324297,-0.297131
608,-0.0327268,-0.296813
609,-0.0330236,-0.296492
610,-0.0333201,-0.296168
611,-0.0336163,-0.295841
612,-0.0339121,-0.295511
613,-0.0342076,-0.295179
614,-0.0345028,-0.294843
615,-0.0347976,-0.294505
616,-0.0350922,-0.294164
617,-0.0353863,-0.293819
618,-0.0356801,-0.293472
619,-0.0359736,-0.293122
620,-0.0362667,-0.29277
621,-0.0365595,-0.292414
622,-0.0368519,-0.292055
623,-0.037144,-0.291694
624,-0.0374357,-0.29133
625,-0.037727,-0.290962
626,-0.038018,-0.290592
627,-0.0383085,-0.29022
628,-0.0385988,-0.289844
629,-0.0388886,-0.289465
630,-0.0391781,-0.289084
631,-0.0394672,-0.2887
632,-0.0397559,-0.288313
633,-0.0400442,-0.287923
634,-0.0403321,-0.28753
635,-0.0406196,-0.287134
636,-0.0409068,-0.286736
637,-0.0411935,-0.286335
638,-0.0414798,-0.285931
639,-0.0417658,-0.285524
640,-0.0420513,-0.285114
641,-0.0423364,-0.284702
642,-0.0426211,-0.284287
643,-0.0429054,-0.283869
644,-0.0431893,-0.283448
645,-0.0434727,-0.283025
646,-0.0437557,-0.282598
647,-0.0440383,-0.282169
648,-0.0443205,-0.281737
649,-0.0446022,-0.281303
650,-0.0448835,-0.280865
651,-0.0451644,-0.280425
652,-0.0454448,-0.279982
653,-0.0457248,-0.279536
654,-0.0460043,-0.279088
655,-0.0462834,-0.278637
656,-0.0465621,-0.278183
657,-0.0468403,-0.277726
658,-0.047118,-0.277267
659,-0.0473952,-0.276805
660,-0.0476721,-0.27634
661,-0.0479484,-0.275873
662,-0.0482243,-0.275403
663,-0.0484997,-0.27493
664,-0.0487746,-0.274454
665,-0.0490491,-0.273976
